Foro de Cubatão	07C03
Foro de Eldorado Paulista	07C04
Foro de Guarujá	07C05
Foro de Iguape	07C06
Foro de Itanhaém	07C07
Foro de Itariri	07C08
Foro de Jacupiranga	07C09
Foro de Juquiá	07C10
Foro de Miracatu	07C11
Foro de Mongaguá	07C12
Foro de Pariquera-Açu	07C13
Foro de Peruíbe	07C14
Foro de Praia Grande	07C15
Foro de Registro	07C16
Foro de Santos	07C17
Foro de São Vicente	07C18
Foro de Barretos	08C01
Foro de Bebedouro	08C02
Foro de Cardoso	08C03
Foro de Catanduva	08C04
Foro de Colina	08C05
Foro de Estrela D'Oeste	08C06
Foro de Fernandópolis	08C07
Foro de General Salgado	08C08
Foro de Guaíra	08C09
Foro de Itajobi	08C10
Foro de José Bonifácio	08C11
Foro de Macaubal	08C12
Foro de Mirassol	08C13
Foro de Monte Aprazível	08C14
Foro de Monte Azul Paulista	08C15
Foro de Neves Paulista	08C16
Foro de Nhandeara	08C17
Foro de Nova Granada	08C18
Foro de Novo Horizonte	08C19
Foro de Olímpia	08C20
Foro de Ouroeste	08C21
Foro de Palestina	08C22
Foro de Paulo de Faria	08C23
Foro de Potirendaba	08C24
Foro de Santa Adélia	08C25
Foro de São José do Rio Preto	08C26
Foro de Tabapuã	08C27
Foro de Tanabi	08C28
Foro de Urupês	08C29
Foro de Viradouro	08C30
Foro de Votuporanga	08C31
Foro de Aparecida	09C01
Foro de Bananal	09C02
Foro de Caçapava	09C03
Foro de Cachoeira Paulista	09C04
Foro de Campos do Jordão	09C05
Foro de Caraguatatuba	09C06
Foro de Cruzeiro	09C07
Foro de Cunha	09C08
Foro de Guaratinguetá	09C09
Foro de Ilhabela	09C10
Foro de Jacareí	09C11
Foro de Lorena	09C12
Foro de Paraibuna	09C13
Foro de Pindamonhangaba	09C14
Foro de Piquete	09C15
Foro de Queluz	09C16
Foro de Roseira	09C17
Foro de Salesópolis	09C18
Foro de Santa Branca	09C19
Foro de São Bento do Sapucaí	09C20
Foro de São José dos Campos	09C21
Foro de São Luiz do Paraitinga	09C22
Foro de São Sebastião	09C23
Foro de Taubaté	09C24
Foro de Tremembé	09C25
Foro de Ubatuba	09C26
Foro de Angatuba	10C01
Foro de Apiaí	10C02
Foro de Boituva	10C03
Foro de Buri	10C04
Foro de Cabreúva	10C05
Foro de Capão Bonito	10C06
Foro de Ibiúna	10C07
Foro de Indaiatuba	10C08
Foro de Itaberá	10C09
Foro de Itapetininga	10C10
Foro de Itapeva	10C11
Foro de Itaporanga	10C12
Foro de Itararé	10C13
Foro de Itu	10C14
Foro de Mairinque	10C15
Foro de Piedade	10C16
Foro de Pilar do Sul	10C17
Foro de Porto Feliz	10C18
Foro de Salto	10C19
Foro de Salto de Pirapora	10C20
Foro de São Miguel Arcanjo	10C21
Foro de São Roque	10C22
Foro de Sorocaba	10C23
Foro de Tatuí	10C24
Foro de Votorantim	10C25
